Parameter,Lower Bound,Upper Bound,Start,,,,,
ampCenBO,0,1,0.5,,dt,2.56,c,3
stdCenBO,1,100,5,,max freq,53.0516477,,
ampSurBO,0,1,0.5,,,,,
stdSurBO,1,100,50,,,,,
freqBOFast,0.3,53.0516477,50,,,,,
freqBOSlow,0.3,53.0516477,20,,,,,
ampCenL,0,1,0.5,,,,,
stdCenL,1,100,5,,,,,
ampSurL,0,1,0.5,,,,,
stdSurL,1,100,50,,,,,
freqL,0.3,53.0516477,50,,,,,
conductanceLEO,0,1,0.25,,,,,
freqEO,0.3,53.0516477,1.6,,,,,
biasEO,-2,2,0,,,,,
conductanceBODO,0,1,0.55,,,,,
freqDO,0.3,53.0516477,50,,,,,
biasDO,-2,2,1.1,,,,,
conductanceDOSO,0,1,0.25,,,,,
freqSO,0.3,53.0516477,50,,,,,
biasSO,-2,2,0,,,,,
conductanceEOOn,0,10,9,,,,,
conductanceDOOn,0,1,0.25,,,,,
conductanceSOOn,0,1,0.5,,,,,
freqOn,0.3,53.0516477,50,,,,,
biasOn,-2,2,0,,,,,
gainHorizontal,0.5,2,1,,,,,
